Ano,PAIS,TIPO_PLANTACAO,TEMPERATURA_MEDIA_C,TOTAL_PRECIPITACAO_MM,EMISSAO_CO2_MT,EVENTOS_TEMPERATURA_EXTREMA,ACESSO_IRRIGACAO_%,SAUDE_DO_SOLO,ESTRATEGIA_ADAPTACAO,IMPACTO_ECONOMICO_USD,NIVEL_CO2
2012,France,Cotton,33.08,665.8,3.01,6,62.19,60.53,Water Management,277.46,BAIXO
2017,USA,Soybeans,27.26,2250.47,8.47,8,54.2,98.05,Drought-resistant Crops,603.98,BAIXO
2003,India,Wheat,29.58,1441.1,22.89,6,54.33,78.16,Organic Farming,378.46,MEDIO
2024,China,Coffee,0.15,657.2,10.25,1,78.47,50.69,Crop Rotation,698.84,MEDIO
2022,Canada,Corn,31.65,930.47,23.8,9,76.72,65.72,No Adaptation,1175.84,MEDIO
2007,Canada,Rice,10.98,2205.82,15.92,6,10.97,78.75,Crop Rotation,728.87,MEDIO
2014,USA,Barley,28.54,824.04,6.69,5,34.2,36.57,Crop Rotation,390.3,BAIXO
2024,Australia,Barley,16.26,964.35,24.91,10,75.19,31.55,Drought-resistant Crops,715.04,MEDIO
1994,France,Fruits,9.31,2305.69,27.83,7,10.53,70.46,Organic Farming,379.66,MEDIO
2024,Canada,Rice,27.89,470.95,0.96,10,40.17,94.1,Crop Rotation,294.43,BAIXO
2016,Argentina,Sugarcane,-0.47,691.72,11.84,2,94.4,77.32,Water Management,567.46,MEDIO
2009,Australia,Rice,7.27,430.92,9.62,6,37.53,92.74,No Adaptation,786.97,BAIXO
1997,Brazil,Barley,28.18,1353.01,9.94,3,76.6,63.28,Water Management,421.77,BAIXO
2008,USA,Barley,18.18,240.85,0.88,7,69.99,67.92,Crop Rotation,1028.44,BAIXO
2005,India,Barley,-2.78,1897.44,24.28,0,62.77,66.46,Drought-resistant Crops,557.32,MEDIO
1993,Canada,Rice,24.67,2283.86,26.47,9,73.87,45.87,Drought-resistant Crops,733.47,MEDIO
1990,France,Soybeans,8.87,1549.36,16.18,8,69.48,87.13,No Adaptation,140.39,MEDIO
2017,France,Rice,23.92,340.08,2.46,7,91.02,92.37,Drought-resistant Crops,727.57,BAIXO
1992,Russia,Fruits,16.23,2451.91,9.47,8,59.49,42.4,Crop Rotation,1493.46,BAIXO
2015,Argentina,Vegetables,-4.84,250.12,0.92,10,20.88,48.82,Drought-resistant Crops,139.48,BAIXO
1996,India,Soybeans,-4.48,1493.07,21.21,5,11.34,48.61,No Adaptation,91.77,MEDIO
2001,USA,Fruits,32.44,1298.44,29.88,10,51.65,76.88,Organic Farming,980.88,MEDIO
1993,Brazil,Soybeans,4.65,1872.81,23.56,7,92.14,46.6,Crop Rotation,373.57,MEDIO
1998,Russia,Coffee,27.07,1623.72,1.21,8,21.67,64.79,Crop Rotation,1678.51,BAIXO
2006,Argentina,Wheat,20.57,1382.09,15.85,1,96.26,88.56,Crop Rotation,1313.11,MEDIO
1997,Russia,Sugarcane,32.5,1725.07,17.83,5,34.47,31.41,No Adaptation,102.3,MEDIO
1990,Russia,Coffee,32.02,235.95,16.62,8,69.38,33.63,Crop Rotation,881.95,MEDIO
2018,China,Wheat,22.3,340.65,19.15,7,67.74,53.63,Crop Rotation,1514.26,MEDIO
2013,Canada,Wheat,19.16,1830.22,19.5,9,66.56,65.21,Crop Rotation,1357.95,MEDIO
2009,USA,Corn,3.71,1381.81,17.55,2,36.78,34.56,Organic Farming,118.31,MEDIO
2008,Argentina,Sugarcane,25.0,1624.03,16.23,6,70.65,73.73,Crop Rotation,592.45,MEDIO
2013,India,Rice,11.94,394.04,15.53,6,57.87,87.92,No Adaptation,954.85,MEDIO
1995,China,Fruits,6.25,2675.83,5.67,5,60.62,44.68,No Adaptation,298.02,BAIXO
2001,Russia,Rice,-3.71,1267.68,24.85,9,95.56,69.47,No Adaptation,1251.83,MEDIO
1993,Argentina,Soybeans,8.11,1564.51,3.27,2,75.64,99.11,Water Management,382.13,BAIXO
2003,France,Soybeans,20.81,2949.33,12.02,2,36.49,77.43,Drought-resistant Crops,671.31,MEDIO
2009,France,Corn,-4.96,2934.4,14.04,0,19.78,81.57,Crop Rotation,364.74,MEDIO
1995,France,Barley,-1.37,1798.56,17.6,9,40.38,63.56,Organic Farming,511.64,MEDIO
1993,France,Coffee,29.11,2954.42,12.63,9,92.86,35.91,Organic Farming,442.41,MEDIO
2019,Canada,Vegetables,4.24,1296.05,7.38,2,95.97,38.57,Organic Farming,615.08,BAIXO
2020,Canada,Vegetables,-1.72,2388.38,2.85,5,11.89,74.62,Water Management,888.2,BAIXO
2019,Argentina,Soybeans,16.14,1917.27,10.51,2,50.94,51.78,Organic Farming,739.8,MEDIO
1999,Argentina,Rice,26.24,428.02,24.37,0,84.99,70.45,Drought-resistant Crops,978.59,MEDIO
1990,Argentina,Fruits,12.89,659.37,28.86,8,52.41,63.11,Water Management,553.44,MEDIO
1998,China,Soybeans,3.42,1426.15,10.79,0,70.69,80.49,Drought-resistant Crops,291.28,MEDIO
1996,Canada,Wheat,0.44,1067.04,20.37,10,69.46,58.26,Water Management,464.68,MEDIO
2017,Argentina,Barley,1.94,439.0,11.06,4,70.2,83.69,Drought-resistant Crops,127.69,MEDIO
1998,Brazil,Wheat,17.37,576.25,23.49,7,69.52,89.57,Organic Farming,795.39,MEDIO
2007,Canada,Fruits,23.82,1628.95,4.43,6,13.98,97.47,Drought-resistant Crops,1530.49,BAIXO
2020,France,Vegetables,34.12,357.0,10.98,8,60.29,40.35,Crop Rotation,670.45,MEDIO
2004,Australia,Wheat,-4.72,2021.72,3.45,4,97.85,45.43,No Adaptation,858.53,BAIXO
2013,France,Corn,33.77,1185.52,10.26,3,75.04,82.75,Drought-resistant Crops,1289.31,MEDIO
2002,France,Rice,4.97,1994.15,18.68,6,82.61,86.82,Water Management,71.53,MEDIO
1992,India,Barley,17.91,2597.89,27.46,4,78.74,30.23,Drought-resistant Crops,768.04,MEDIO
2009,USA,Coffee,13.43,2438.35,1.24,9,86.92,83.27,Crop Rotation,1336.22,BAIXO
1990,Russia,Fruits,-3.57,1177.02,5.84,5,42.4,47.48,Water Management,346.44,BAIXO
2014,France,Soybeans,-0.94,2884.92,20.54,4,41.87,57.6,No Adaptation,237.57,MEDIO
1998,USA,Soybeans,4.16,2811.25,1.06,9,40.03,62.81,Crop Rotation,678.39,BAIXO
2010,Nigeria,Cotton,4.11,2372.71,26.8,9,19.52,48.43,Organic Farming,212.08,MEDIO
2015,India,Vegetables,21.76,202.76,18.9,2,29.45,31.1,Organic Farming,408.66,MEDIO
1992,Nigeria,Wheat,25.22,2010.36,18.27,6,36.4,66.92,Organic Farming,752.71,MEDIO
2003,Nigeria,Barley,-3.05,2374.08,21.18,5,20.32,36.66,No Adaptation,545.67,MEDIO
1990,Nigeria,Vegetables,30.45,2415.67,19.99,2,75.81,56.17,No Adaptation,149.55,MEDIO
2015,Nigeria,Fruits,12.7,2685.16,3.11,9,54.04,85.7,Crop Rotation,995.85,BAIXO
1995,India,Barley,23.93,2063.59,23.42,1,88.23,92.61,No Adaptation,903.57,MEDIO
2011,India,Rice,11.02,992.46,3.86,5,31.24,37.3,Crop Rotation,630.1,BAIXO
2014,France,Soybeans,18.19,1696.79,4.32,4,88.43,39.57,Drought-resistant Crops,248.27,BAIXO
2007,USA,Vegetables,0.95,2213.1,1.67,6,80.23,76.43,Drought-resistant Crops,236.72,BAIXO
2018,France,Sugarcane,5.23,1046.54,18.58,6,63.23,73.21,Drought-resistant Crops,492.9,MEDIO
1991,Nigeria,Fruits,-0.57,2617.79,23.37,2,75.42,73.78,Organic Farming,442.0,MEDIO
1995,Russia,Sugarcane,-0.99,1758.15,25.89,6,47.65,39.49,Organic Farming,628.15,MEDIO
2004,France,Coffee,23.84,250.89,20.3,7,64.87,82.26,Organic Farming,576.24,MEDIO
1996,Australia,Soybeans,17.51,1055.06,6.06,5,66.87,51.63,Organic Farming,911.35,BAIXO
1991,USA,Vegetables,26.93,1468.51,23.72,2,72.95,87.14,Crop Rotation,598.33,MEDIO
1992,China,Wheat,27.56,662.97,10.35,8,27.57,99.8,Crop Rotation,502.82,MEDIO
2001,China,Fruits,5.07,2353.24,26.8,3,75.65,83.09,Organic Farming,183.37,MEDIO
2009,USA,Vegetables,-0.47,1349.58,17.91,7,60.47,37.66,Water Management,673.15,MEDIO
2008,Nigeria,Coffee,18.69,444.51,27.06,0,64.89,50.02,Water Management,762.85,MEDIO
1996,Argentina,Barley,23.2,2588.69,16.5,7,70.04,69.86,Drought-resistant Crops,1110.35,MEDIO
1997,France,Cotton,5.05,1694.47,15.97,7,66.39,69.2,Water Management,140.24,MEDIO
2021,Australia,Vegetables,3.81,1118.64,22.68,6,57.3,77.65,Water Management,214.45,MEDIO
1995,USA,Sugarcane,5.95,2372.99,21.63,0,19.59,74.96,Water Management,251.11,MEDIO
2022,China,Cotton,12.08,1990.89,16.18,2,47.47,98.13,Crop Rotation,771.92,MEDIO
2008,Russia,Corn,-3.76,1281.05,5.86,2,24.46,66.78,Crop Rotation,712.29,BAIXO
1991,Nigeria,Fruits,14.38,510.91,19.6,4,67.35,76.2,No Adaptation,439.23,MEDIO
2022,Nigeria,Cotton,0.98,2047.94,6.45,10,55.99,50.04,Organic Farming,482.66,BAIXO
1993,China,Coffee,12.46,581.49,18.65,6,72.5,56.29,No Adaptation,647.67,MEDIO
2018,China,Corn,26.54,1847.23,6.02,6,90.49,45.3,No Adaptation,442.2,BAIXO
1998,Australia,Barley,1.0,454.15,1.18,6,82.3,72.42,Water Management,627.87,BAIXO
2013,USA,Cotton,21.77,2096.12,20.64,9,89.62,73.57,Crop Rotation,511.25,MEDIO
1991,Brazil,Corn,28.37,2343.65,4.05,10,73.34,90.33,Water Management,880.55,BAIXO
1996,Canada,Wheat,17.22,2383.44,26.21,5,57.96,57.42,Organic Farming,908.57,MEDIO
2024,Russia,Wheat,-0.29,1464.47,28.58,1,94.69,42.51,Water Management,191.53,MEDIO
2006,Canada,Wheat,33.78,570.28,0.87,6,76.7,71.7,Organic Farming,279.95,BAIXO
1994,Argentina,Fruits,31.2,859.85,11.37,3,41.71,91.99,Drought-resistant Crops,283.74,MEDIO
1994,USA,Fruits,0.5,646.65,25.35,4,71.01,43.92,Drought-resistant Crops,505.07,MEDIO
2010,Argentina,Corn,14.13,868.55,8.12,5,61.41,37.89,Water Management,302.57,BAIXO
2008,Nigeria,Barley,31.36,1173.4,3.38,3,94.93,92.74,No Adaptation,164.48,BAIXO
2012,Russia,Rice,5.24,1811.14,14.1,6,77.84,65.45,Water Management,363.79,MEDIO
2022,France,Sugarcane,-3.23,1245.64,15.3,1,56.31,39.39,Drought-resistant Crops,978.5,MEDIO
2006,China,Corn,26.36,2084.99,29.77,6,88.09,48.15,Crop Rotation,325.72,MEDIO
2013,Brazil,Cotton,-0.85,530.58,14.17,9,69.88,90.57,Crop Rotation,939.58,MEDIO
1997,Nigeria,Soybeans,16.25,2984.77,10.22,6,41.27,79.59,Organic Farming,514.2,MEDIO
2024,USA,Coffee,29.92,2613.78,9.76,2,84.68,74.3,Drought-resistant Crops,144.52,BAIXO
2001,China,Cotton,6.29,2976.13,23.97,3,97.47,54.51,No Adaptation,236.06,MEDIO
2002,China,Corn,-0.91,1855.86,2.76,3,98.07,84.34,Crop Rotation,367.69,BAIXO
1996,Russia,Soybeans,0.07,426.28,15.06,4,30.86,56.05,Organic Farming,84.24,MEDIO
1995,Brazil,Fruits,-2.18,1065.85,20.73,5,43.0,31.62,No Adaptation,1181.02,MEDIO
2011,Brazil,Sugarcane,18.35,422.47,13.11,2,38.8,30.99,Drought-resistant Crops,1330.89,MEDIO
2004,USA,Vegetables,28.65,1370.45,3.43,5,53.96,32.19,Water Management,409.65,BAIXO
2017,Brazil,Rice,30.31,2584.38,9.64,4,85.17,71.43,Water Management,310.32,BAIXO
2021,France,Fruits,2.44,1354.6,4.1,4,68.27,69.51,Organic Farming,422.83,BAIXO
2002,France,Fruits,13.06,2815.04,16.06,3,97.65,52.88,Organic Farming,1609.74,MEDIO
1997,Argentina,Fruits,18.25,2702.66,1.07,7,29.14,36.36,No Adaptation,746.75,BAIXO
2008,Russia,Sugarcane,5.79,1998.6,17.81,1,65.02,64.88,Crop Rotation,144.44,MEDIO
2019,USA,Cotton,28.59,608.98,19.62,8,40.01,83.76,Crop Rotation,211.75,MEDIO
2020,Russia,Cotton,-0.96,1029.56,6.23,9,18.3,33.98,No Adaptation,71.79,BAIXO
1999,Nigeria,Soybeans,32.71,1901.81,4.39,3,68.27,31.32,Water Management,561.93,BAIXO
2013,India,Cotton,19.12,1106.47,22.76,7,32.61,39.1,Drought-resistant Crops,587.49,MEDIO
2017,France,Corn,-3.31,2380.02,19.17,10,35.51,59.0,Organic Farming,269.95,MEDIO
1999,France,Vegetables,30.49,434.87,22.68,9,55.48,38.39,Water Management,154.73,MEDIO
2003,India,Sugarcane,34.59,1495.7,18.11,0,13.98,32.28,Crop Rotation,832.69,MEDIO
2013,Australia,Sugarcane,14.09,606.16,8.7,8,97.89,71.25,Organic Farming,689.8,BAIXO
2021,India,Barley,-3.29,556.02,2.03,7,50.79,98.24,Crop Rotation,719.53,BAIXO
2002,Argentina,Soybeans,18.39,1351.77,18.77,9,86.32,31.08,No Adaptation,566.4,MEDIO
2007,France,Sugarcane,29.76,1458.09,11.49,0,60.09,87.55,Drought-resistant Crops,842.13,MEDIO
1995,Brazil,Vegetables,-0.65,221.37,26.6,8,17.9,49.55,Crop Rotation,981.2,MEDIO
2019,Brazil,Fruits,16.0,1935.88,7.79,10,49.15,67.48,Water Management,1431.06,BAIXO
2001,Argentina,Rice,4.24,1965.3,26.16,8,93.7,62.02,Crop Rotation,221.36,MEDIO
2020,China,Sugarcane,27.63,1204.36,15.99,4,44.75,87.28,No Adaptation,1647.56,MEDIO
2013,Canada,Vegetables,34.79,885.47,0.51,1,19.25,45.59,No Adaptation,1372.82,BAIXO
2020,Canada,Cotton,23.78,1311.58,16.58,7,91.34,97.43,Crop Rotation,1044.19,MEDIO
2002,USA,Rice,1.68,1344.94,29.85,1,18.83,38.64,Drought-resistant Crops,281.0,MEDIO
2002,France,Rice,28.71,1495.66,5.2,2,82.65,94.98,No Adaptation,349.95,BAIXO
2013,Nigeria,Soybeans,28.48,2212.35,25.43,5,35.72,35.74,Organic Farming,634.22,MEDIO
2017,China,Coffee,29.56,2027.98,18.09,5,33.19,49.61,Water Management,1287.36,MEDIO
1992,Nigeria,Cotton,11.28,658.01,22.16,4,58.78,70.8,Organic Farming,1217.84,MEDIO
2017,USA,Vegetables,30.43,2630.11,28.46,1,24.69,67.74,Crop Rotation,382.01,MEDIO
2017,Australia,Barley,13.58,1249.16,1.56,8,18.2,81.6,No Adaptation,470.87,BAIXO
2023,India,Corn,23.65,2372.85,20.04,7,91.12,75.18,Water Management,565.81,MEDIO
2003,Russia,Vegetables,20.65,2348.9,2.53,2,82.49,31.24,Water Management,879.25,BAIXO
1999,Nigeria,Cotton,17.37,1748.58,28.76,0,97.07,72.58,Crop Rotation,281.57,MEDIO
1993,Brazil,Rice,25.48,598.71,21.4,3,91.25,72.15,Drought-resistant Crops,620.63,MEDIO
2000,Argentina,Coffee,30.35,1555.74,21.21,9,89.92,69.82,Water Management,645.15,MEDIO
2009,Russia,Sugarcane,0.39,1454.22,1.14,10,39.06,71.71,Drought-resistant Crops,1200.93,BAIXO
1995,China,Vegetables,12.98,676.03,5.18,10,85.29,46.27,Organic Farming,371.84,BAIXO
1990,Nigeria,Coffee,29.84,440.76,11.88,10,99.56,38.12,Water Management,347.38,MEDIO
2019,India,Coffee,6.29,1133.06,11.44,6,48.1,40.96,Crop Rotation,733.27,MEDIO
2017,India,Wheat,6.89,1805.67,27.78,4,40.29,31.56,Drought-resistant Crops,410.04,MEDIO
1994,China,Vegetables,16.15,1469.36,3.74,0,21.07,40.29,Drought-resistant Crops,1054.08,BAIXO
2000,Brazil,Wheat,14.48,1336.49,5.09,5,79.92,91.8,No Adaptation,465.88,BAIXO
1999,China,Cotton,30.65,691.21,18.79,7,91.79,56.14,No Adaptation,447.95,MEDIO
1992,India,Rice,13.67,302.04,8.73,3,67.26,43.9,Water Management,563.1,BAIXO
1996,France,Corn,7.78,2085.42,8.97,6,65.72,41.83,Crop Rotation,562.82,BAIXO
1992,USA,Barley,33.61,2242.69,22.4,3,64.81,31.38,No Adaptation,340.59,MEDIO
1994,Brazil,Coffee,16.42,1727.19,25.02,10,56.59,94.26,Drought-resistant Crops,501.46,MEDIO
1998,Australia,Coffee,-4.14,361.45,26.86,3,36.54,41.53,No Adaptation,690.98,MEDIO
2014,Canada,Barley,10.6,2734.88,26.98,6,55.94,79.61,Drought-resistant Crops,269.98,MEDIO
2013,Nigeria,Cotton,11.2,2212.2,18.09,9,92.7,41.04,Drought-resistant Crops,1538.4,MEDIO
2023,Brazil,Cotton,11.19,2477.7,19.65,0,19.61,60.45,Crop Rotation,1186.35,MEDIO
2014,Canada,Rice,15.84,1650.33,2.5,6,89.21,40.81,Water Management,1265.93,BAIXO
2011,Russia,Fruits,16.7,1012.51,3.0,10,14.66,61.64,Water Management,1699.29,BAIXO
2000,Nigeria,Sugarcane,27.39,490.57,14.84,9,80.75,90.36,Water Management,222.0,MEDIO
2005,China,Coffee,5.53,1231.89,4.97,2,30.94,67.5,No Adaptation,623.75,BAIXO
2011,Argentina,Corn,29.63,619.89,12.78,5,60.59,96.84,Organic Farming,994.2,MEDIO
1991,Nigeria,Corn,31.85,844.5,14.41,5,40.84,55.15,No Adaptation,539.86,MEDIO
1999,USA,Barley,-1.95,442.91,18.04,3,98.11,40.68,Organic Farming,344.33,MEDIO
2023,Canada,Sugarcane,25.77,1285.06,27.25,8,47.99,46.02,Crop Rotation,996.67,MEDIO
2020,Canada,Wheat,16.23,2547.84,18.35,2,19.4,47.34,No Adaptation,337.74,MEDIO
2000,China,Soybeans,25.02,1391.76,17.29,8,23.93,46.65,Organic Farming,361.23,MEDIO
1997,USA,Cotton,23.25,1602.53,26.78,5,94.03,97.42,Organic Farming,516.93,MEDIO
2017,USA,Wheat,12.34,1814.76,11.34,1,28.48,38.62,Organic Farming,443.66,MEDIO
1994,India,Vegetables,20.93,2493.1,29.51,6,15.63,88.34,Drought-resistant Crops,424.74,MEDIO
2019,India,Corn,-2.67,1888.15,25.56,8,27.77,82.04,Organic Farming,137.36,MEDIO
2005,China,Wheat,5.4,2953.76,20.68,1,11.01,50.07,No Adaptation,235.14,MEDIO
2018,Russia,Coffee,29.73,2920.8,21.37,5,25.57,87.84,Drought-resistant Crops,1181.58,MEDIO
1994,Australia,Fruits,26.79,2546.69,18.87,6,18.04,62.53,No Adaptation,129.14,MEDIO
2012,Canada,Soybeans,26.63,777.81,12.74,5,86.99,36.07,Crop Rotation,272.45,MEDIO
1992,Brazil,Barley,31.22,1319.03,22.94,5,79.89,40.77,Crop Rotation,506.02,MEDIO
2005,USA,Soybeans,20.68,1331.84,29.87,4,39.9,51.29,No Adaptation,1076.97,MEDIO
1990,Canada,Corn,29.47,2474.17,13.41,7,77.3,31.96,No Adaptation,406.73,MEDIO
2023,Australia,Wheat,28.93,616.35,1.11,5,67.2,64.15,Organic Farming,922.83,BAIXO
1995,USA,Cotton,4.13,2832.54,7.27,6,32.78,67.91,Organic Farming,860.05,BAIXO
2014,Australia,Corn,1.7,1529.37,29.94,6,18.83,31.74,Water Management,541.33,MEDIO
2016,India,Fruits,34.26,2154.55,12.88,2,49.34,87.53,No Adaptation,1321.97,MEDIO
2000,USA,Barley,25.43,1067.02,26.09,8,98.57,93.99,Drought-resistant Crops,967.79,MEDIO
1991,France,Rice,12.81,2985.81,27.77,3,88.15,53.84,Drought-resistant Crops,1540.21,MEDIO
1996,Brazil,Barley,13.81,1039.71,0.78,1,47.73,68.22,No Adaptation,1450.33,BAIXO
2020,Russia,Corn,4.76,519.75,27.63,6,14.85,77.68,No Adaptation,111.48,MEDIO
2003,Russia,Rice,4.0,1293.13,5.5,10,83.88,56.04,No Adaptation,424.31,BAIXO
2007,China,Cotton,28.74,2538.61,24.91,4,37.76,47.12,Crop Rotation,240.55,MEDIO
2016,France,Barley,33.12,688.17,20.1,8,78.2,61.57,Drought-resistant Crops,454.11,MEDIO
2023,China,Wheat,21.5,1658.66,24.34,9,38.4,80.43,No Adaptation,442.74,MEDIO
2002,USA,Soybeans,-4.34,2127.43,20.33,2,90.72,64.25,Water Management,105.32,MEDIO
2005,USA,Cotton,12.65,2188.98,28.23,2,56.79,84.1,Organic Farming,1413.25,MEDIO
1992,India,Soybeans,7.47,600.5,18.23,4,38.98,84.4,Water Management,335.56,MEDIO
1991,Russia,Rice,34.42,2396.33,22.12,1,22.6,65.68,Crop Rotation,275.77,MEDIO
2023,Brazil,Corn,15.41,344.8,6.07,7,71.61,48.25,Drought-resistant Crops,444.35,BAIXO
1994,Nigeria,Sugarcane,27.2,1309.94,21.93,4,92.27,44.63,Crop Rotation,849.17,MEDIO
2007,Argentina,Soybeans,30.04,1655.07,6.49,0,23.76,82.26,No Adaptation,283.1,BAIXO
2010,China,Wheat,9.14,1485.92,8.86,7,87.1,31.46,No Adaptation,537.76,BAIXO
2007,China,Rice,5.55,1562.26,19.77,5,74.15,33.59,No Adaptation,274.44,MEDIO
2004,Brazil,Barley,3.95,1732.45,17.34,7,93.0,36.43,Water Management,499.76,MEDIO
2008,India,Barley,15.51,1911.74,29.87,10,71.09,63.65,Crop Rotation,921.78,MEDIO
2003,Australia,Corn,9.33,2336.64,17.34,9,96.51,43.36,Water Management,297.91,MEDIO
1997,Russia,Sugarcane,23.33,1952.12,3.71,1,71.33,54.77,Organic Farming,877.18,BAIXO
2000,Nigeria,Wheat,-2.53,2581.2,21.41,10,98.39,89.84,Crop Rotation,326.26,MEDIO
1991,Argentina,Soybeans,23.38,2495.66,1.92,8,14.28,71.81,Drought-resistant Crops,392.9,BAIXO
2016,Russia,Rice,22.9,2330.91,20.24,9,36.97,93.01,Organic Farming,1016.43,MEDIO
2006,USA,Coffee,22.74,1190.75,5.66,1,35.28,56.02,Organic Farming,1138.32,BAIXO
2014,Canada,Vegetables,26.86,1271.81,17.92,4,22.85,99.17,Organic Farming,339.2,MEDIO
2007,India,Soybeans,15.44,2778.33,6.69,3,21.05,91.5,Drought-resistant Crops,327.04,BAIXO
2009,Nigeria,Corn,15.89,1173.17,29.6,3,51.31,50.3,Drought-resistant Crops,1444.23,MEDIO
2002,Canada,Corn,34.25,1632.52,9.81,10,61.11,46.72,Crop Rotation,349.3,BAIXO
2017,Canada,Wheat,1.88,2616.03,27.94,4,92.18,58.25,Water Management,949.53,MEDIO
2013,India,Cotton,15.01,1740.11,28.88,7,59.09,48.25,No Adaptation,456.39,MEDIO
2014,India,Vegetables,24.84,597.92,19.49,7,54.74,30.59,Water Management,480.98,MEDIO
2011,France,Cotton,-1.8,2933.84,15.68,6,96.85,53.13,No Adaptation,1009.52,MEDIO
1992,India,Cotton,33.5,2033.3,11.04,2,76.61,94.77,Crop Rotation,254.28,MEDIO
1992,Argentina,Corn,-2.5,2618.24,0.53,10,82.65,68.82,No Adaptation,139.51,BAIXO
2012,Australia,Cotton,26.03,674.99,22.17,3,57.56,32.89,Crop Rotation,102.58,MEDIO
2005,Brazil,Cotton,-0.69,2935.28,3.63,3,77.44,80.72,Organic Farming,275.47,BAIXO
1995,Argentina,Fruits,27.82,784.39,29.78,8,14.14,99.75,Water Management,1057.48,MEDIO
2020,Nigeria,Cotton,22.47,1858.05,27.72,3,75.16,40.14,Organic Farming,1243.61,MEDIO
2021,China,Rice,31.88,2621.24,27.56,3,24.67,86.56,Crop Rotation,387.95,MEDIO
1994,Argentina,Fruits,0.22,1771.67,17.29,5,72.18,76.67,Water Management,804.91,MEDIO
2011,Australia,Cotton,28.14,741.61,3.52,9,96.07,31.52,Organic Farming,972.24,BAIXO
2001,Brazil,Rice,2.64,514.15,21.96,4,15.95,85.01,Drought-resistant Crops,116.07,MEDIO
1992,France,Barley,-2.1,2157.9,17.48,3,94.15,30.82,Drought-resistant Crops,232.8,MEDIO
1992,Brazil,Corn,20.59,272.7,1.14,1,40.15,41.79,Crop Rotation,88.83,BAIXO
2021,India,Vegetables,-3.63,1194.74,13.25,7,50.78,96.15,Drought-resistant Crops,292.05,MEDIO
1996,India,Sugarcane,0.88,2672.09,23.82,1,73.45,34.22,Drought-resistant Crops,535.92,MEDIO
2019,Australia,Cotton,19.68,937.95,10.42,4,29.58,36.3,No Adaptation,534.61,MEDIO
2012,Argentina,Sugarcane,6.5,2433.88,2.54,2,86.15,33.79,Crop Rotation,363.33,BAIXO
1998,India,Barley,2.25,1160.73,8.24,1,65.27,61.85,Organic Farming,395.51,BAIXO
1999,Canada,Vegetables,13.14,651.34,25.11,10,92.03,59.66,Organic Farming,1178.11,MEDIO
2014,Canada,Vegetables,31.28,2897.06,8.89,10,71.32,93.37,No Adaptation,1133.21,BAIXO
2024,France,Wheat,23.09,2765.27,6.52,4,38.71,76.6,Crop Rotation,310.14,BAIXO
1991,France,Sugarcane,31.54,600.24,23.84,2,30.94,59.21,Water Management,680.27,MEDIO
2007,Brazil,Wheat,0.05,1082.9,28.2,8,24.46,60.9,Organic Farming,160.77,MEDIO
2002,USA,Rice,24.39,2703.16,25.81,3,87.59,71.87,No Adaptation,417.84,MEDIO
1995,Australia,Rice,17.88,2324.59,28.58,2,83.14,66.51,Water Management,1949.14,MEDIO
2008,Russia,Cotton,5.43,1809.18,29.97,4,58.34,67.27,Organic Farming,561.08,MEDIO
2009,Australia,Coffee,15.35,2254.43,6.19,10,93.18,85.02,Crop Rotation,712.33,BAIXO
2002,France,Sugarcane,19.3,1332.21,14.88,6,84.3,71.67,Water Management,606.08,MEDIO
2001,Australia,Barley,18.74,1823.69,25.29,5,71.67,94.03,Crop Rotation,609.48,MEDIO
2022,Argentina,Cotton,-3.57,2373.7,8.71,9,83.51,63.49,No Adaptation,837.07,BAIXO
1999,Nigeria,Fruits,-3.24,1471.71,28.35,8,47.39,68.03,Drought-resistant Crops,238.13,MEDIO
2001,France,Coffee,22.86,402.01,20.64,0,44.96,95.68,Drought-resistant Crops,262.38,MEDIO
1995,India,Soybeans,30.38,555.33,5.31,6,82.27,41.55,Organic Farming,617.82,BAIXO
1997,Canada,Cotton,-0.62,1377.42,7.58,2,76.26,56.15,Water Management,727.64,BAIXO
2005,USA,Barley,30.33,687.45,8.17,6,73.12,60.21,Water Management,1576.66,BAIXO
2002,France,Wheat,4.86,599.84,5.2,0,98.54,59.99,No Adaptation,216.05,BAIXO
2016,Canada,Corn,30.43,2103.97,11.76,6,77.98,93.72,Crop Rotation,864.49,MEDIO
2006,USA,Coffee,7.24,1604.57,1.2,4,62.45,55.3,Drought-resistant Crops,202.09,BAIXO
2024,USA,Cotton,10.52,809.93,29.79,1,79.05,49.15,Organic Farming,347.98,MEDIO
1996,Australia,Fruits,23.39,909.11,26.53,8,75.11,71.92,Water Management,427.04,MEDIO
2023,India,Sugarcane,1.83,1530.36,11.55,3,44.76,75.08,Drought-resistant Crops,804.79,MEDIO
2020,Nigeria,Sugarcane,26.4,1662.63,19.85,0,29.73,31.4,Crop Rotation,382.74,MEDIO
1999,China,Vegetables,31.59,2464.1,12.75,6,19.0,83.01,Water Management,1179.12,MEDIO
1997,Argentina,Fruits,25.5,1640.94,13.8,1,79.29,39.56,Water Management,490.61,MEDIO
1994,India,Rice,2.48,2722.96,17.96,8,93.89,65.29,Drought-resistant Crops,753.51,MEDIO
2024,Nigeria,Vegetables,6.77,1379.1,25.99,2,39.35,60.08,Crop Rotation,109.72,MEDIO
2009,Australia,Soybeans,20.56,2141.43,13.83,1,80.45,73.77,No Adaptation,342.86,MEDIO
